participant_id	intervention_type	mood_week_1	mood_week_2	mood_week_3	mood_week_4
1	Sleep Hygiene	66.3187421497973	83.44102451620209	76.28552977901752	79.13562750842115
2	Sleep Hygiene	60.172428309218475	77.91949983998379	65.21730232478039	87.92762964638482
3	Sleep Hygiene	75.27211067339769	55.01878357688203	56.86639424257974	84.56320700528178
4	Sleep Hygiene	66.7693466706116	62.79956578493696	61.20853202482973	40.49898493679122
5	Sleep Hygiene	65.95367746961274	73.7473258395312	53.3409869191683	66.47263826872619
6	Sleep Hygiene	78.38412290612612	68.38126883709921	60.72151486437184	42.91239365581546
7	Sleep Hygiene	60.39294363998168	61.93552990362804	89.34168571151156	81.9609763304503
8	Sleep Hygiene	72.59482713120337	74.04987535977014	76.17331210362909	74.740476691743865
9	Sleep Hygiene	67.31991345379193	58.40353370561651	73.68317114030887	55.60675596913687
10	Sleep Hygiene	65.21233398579783	51.20308815643955	45.78825238809406	60.51371524543752
11	Sleep Hygiene	57.566567977596485	60.91947101045837	70.29743290276113	65.98221078143864
12	Sleep Hygiene	68.33928095407794	50.90458290786518	67.67624206248692	60.548819485672574
13	Sleep Hygiene	77.71446753956428	58.25566549870422	78.1601302074894	61.72072723579004
14	Sleep Hygiene	57.22849281359532	67.39659745492438	36.7642116268702	64.66919664093683
15	Sleep Hygiene	58.572663496157176	58.45336113881717	48.77047900135963	63.56092403236332
16	Sleep Hygiene	62.71266130295563	71.431536305038	55.23213418021026	73.5373518266549
17	Sleep Hygiene	73.08244777454236	64.7102241073153	103.33973053068257	47.97118167269578
18	Sleep Hygiene	74.02041450655915	62.202571486783626	69.09050505517723	39.758776855507634
19	Sleep Hygiene	82.47890370568993	81.25373092718957	62.250813469181765	82.36662815894792
20	Sleep Hygiene	68.98413055008935	89.23777608711262	67.41002224996791	56.765352280506434
21	Sleep Hygiene	59.64690148252649	87.67340712258112	67.3972904022343	59.895125830869205
22	Sleep Hygiene	59.99155724905558	62.98510836087745	61.74659063643406	80.316789104936
23	Sleep Hygiene	70.99278152843343	69.17570243072944	78.99617580364838	74.978283110194
